Season,Club,gk_players_used,gk_minutes,gk_minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_draws,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att_gk,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
2011-2012,Chelsea,3,3420,,46,1.21,161,115,71.4,18,10,10,10,26.3,,,,,
2011-2012,Everton,1,3420,,40,1.05,138,98,71.0,15,11,12,12,31.6,,,,,
2011-2012,Fulham,2,3420,,51,1.34,200,149,74.5,14,10,14,11,28.9,,,,,
2011-2012,Liverpool,3,3412,,40,1.06,137,97,70.8,14,10,14,12,31.6,,,,,
2011-2012,Manchester City,1,3420,,29,0.76,133,104,78.2,28,5,5,17,44.7,,,,,
2011-2012,Manchester Utd,3,3420,,33,0.87,159,126,79.2,28,5,5,20,52.6,,,,,
2011-2012,Newcastle Utd,1,3420,,51,1.34,176,125,71.0,19,8,11,15,39.5,,,,,
2011-2012,Norwich City,2,3420,,66,1.74,228,162,71.1,12,11,15,3,7.9,,,,,
2011-2012,QPR,2,3420,,66,1.74,207,141,68.1,10,7,21,7,18.4,,,,,
2011-2012,Stoke City,2,3420,,53,1.39,177,124,70.1,11,12,15,9,23.7,,,,,
2011-2012,Sunderland,3,3420,,46,1.21,170,124,72.9,11,12,15,12,31.6,,,,,
2011-2012,Swansea City,2,3420,,51,1.34,198,147,74.2,12,11,15,14,36.8,,,,,
2011-2012,Tottenham,1,3420,,41,1.08,163,122,74.8,20,9,9,14,36.8,,,,,
2011-2012,West Brom,2,3420,,52,1.37,171,119,69.6,13,8,17,10,26.3,,,,,
2011-2012,Wigan Athletic,1,3420,,62,1.63,200,138,69.0,11,10,17,8,21.1,,,,,
2011-2012,Wolves,3,3420,,82,2.16,271,189,69.7,5,10,23,4,10.5,,,,,
2012-2013,Arsenal,3,3420,,37,0.97,142,105,73.9,21,10,7,14,36.8,,,,,
2012-2013,Aston Villa,2,3420,,69,1.82,193,124,64.2,10,11,17,5,13.2,,,,,
2012-2013,Chelsea,2,3420,,39,1.03,162,123,75.9,22,9,7,14,36.8,,,,,
2012-2013,Everton,2,3420,,40,1.05,143,103,72.0,16,15,7,11,28.9,,,,,
2012-2013,Fulham,2,3420,,60,1.58,198,138,69.7,11,10,17,8,21.1,,,,,
2012-2013,Liverpool,2,3420,,43,1.13,135,92,68.1,16,13,9,16,42.1,,,,,
2012-2013,Manchester City,1,3420,,34,0.89,112,78,69.6,23,9,6,18,47.4,,,,,
2012-2013,Manchester Utd,2,3420,,43,1.13,152,109,71.7,28,5,5,13,34.2,,,,,
2012-2013,Newcastle Utd,3,3420,,68,1.79,189,121,64.0,11,8,19,6,15.8,,,,,
2012-2013,Norwich City,3,3420,,58,1.53,176,118,67.0,10,14,14,10,26.3,,,,,
