Year,Season,Club,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,id,matches,awardedMatches
2018,2018-2019,Watford,52,59,3,39,437,1,1,0,22,43,8,151,80,8,9,34,80,62,54,152,157,128,293,541,177,9,16,3,15,46.710526315789,15465,11772,76.120271580989,6449,5590,86.680105442704,9586,6287,65.585228458168,1438,664,46.175243393602,570,105,18.421052631579,7,654,425,127,7,11,5,4,957,3,7,4335,2082,48.0276816609,2750,1309,47.6,1585,773,48.769716088328,5755,89,433,78,1,4,6.7726377952756,3718,8012,6372,14190,101,69,63,961,210,194,741,622,365,8,9,16,450,354,1150,2384,115,3,491,120,205,108,188,183,120,670,5325,11183,7376,17818,50,1931,38,0
2018,2018-2019,Crystal Palace,51,53,1,33,493,10,11,1,16,40,8,201,102,5,14,29,63,39,38,148,206,139,377,667,205,15,20,2,18,45.052631578947,15243,11708,76.809027094404,6529,5597,85.725225915148,9291,6249,67.258637391024,1462,666,45.554035567715,577,138,23.916811091854,12,730,446,113,5,12,5,4,940,1,2,4331,2179,50.311706303394,2922,1490,50.992470910335,1409,689,48.899929027679,5591,78,386,59,1,2,6.8613360323887,4328,9193,6744,15724,73,55,48,830,216,213,840,589,310,4,10,13,425,390,1273,2316,61,2,525,145,198,141,216,164,145,762,6035,12444,7565,19169,62,1815,38,0
2018,2018-2019,Newcastle United,42,48,1,33,446,1,3,1,16,39,2,162,103,12,12,17,53,39,32,142,186,118,237,445,181,14,13,1,12,40.052631578947,13490,9830,72.868791697554,5935,5042,84.953664700927,8266,4958,59.98064360029,1922,839,43.652445369407,711,170,23.909985935302,11,714,506,95,5,11,6,6,1120,6,3,4328,2070,47.828096118299,2600,1265,48.653846153846,1728,805,46.585648148148,5713,59,423,57,0,2,6.8196881091618,4237,9816,7626,17241,83,67,56,866,231,201,834,568,325,3,15,8,349,352,1152,2287,63,1,489,137,179,73,205,147,137,610,6011,13298,8576,21040,58,1135,38,0
2018,2018-2019,AFC Bournemouth,56,70,3,43,446,7,9,0,16,49,6,167,85,11,14,29,95,77,57,163,175,108,291,578,191,12,30,9,23,46.789473684211,15943,12459,78.147149219093,7540,6566,87.082228116711,9016,6061,67.224933451642,1376,590,42.877906976744,613,168,27.406199021207,10,526,371,110,10,11,5,5,1019,4,5,3941,1960,49.733570159858,2467,1244,50.425618159708,1474,716,48.575305291723,5432,57,340,60,0,1,6.8062992125984,4154,8510,6793,15158,86,60,44,781,225,145,753,493,276,3,11,14,424,389,1155,2457,84,9,521,153,162,119,191,177,153,642,5881,11842,7585,18674,90,3742,38,0
2018,2018-2019,Burnley,45,68,4,32,360,2,2,0,14,41,2,160,57,13,11,18,66,49,41,116,155,89,206,369,140,12,10,1,9,40.736842105263,13010,9142,70.269023827825,4962,4149,83.615477629988,8741,5160,59.032147351562,1903,796,41.828691539674,693,167,24.098124098124,8,583,365,140,5,14,3,2,1081,11,5,4307,2159,50.127699094497,2217,1111,50.112764997745,2090,1048,50.143540669856,5699,106,360,75,0,1,6.7822937625755,4055,8124,7605,15535,88,65,57,893,245,194,809,537,302,5,6,17,307,504,1143,2610,46,3,652,217,185,122,225,210,217,478,5755,11541,8674,19406,58,972,38,0
2018,2018-2019,Southampton,45,65,3,27,483,4,5,3,20,31,13,170,114,4,6,33,75,48,50,162,183,138,285,504,193,13,13,1,12,43.289473684211,14297,10576,73.973560886899,5360,4503,84.011194029851,9601,6235,64.941151963337,1654,669,40.447400241838,664,162,24.397590361446,7,699,548,114,10,8,3,2,1068,4,4,4332,2090,48.245614035088,2671,1317,49.307375514788,1661,773,46.538229981939,5675,61,420,73,2,3,6.777281553398,3622,7847,7403,15081,79,61,43,825,214,169,710,648,368,9,14,13,376,385,1129,2458,88,1,522,154,207,142,189,179,154,597,5337,11292,8521,19103,62,2774,38,0
2018,2018-2019,Brighton & Hove Albion,35,60,0,24,371,5,6,0,12,34,1,129,92,10,8,17,46,34,23,108,174,89,272,520,156,6,13,4,11,41.894736842105,14109,10554,74.803317031682,6472,5491,84.84239802225,8273,5248,63.43527136468,1745,789,45.214899713467,636,185,29.088050314465,7,681,463,111,5,12,10,10,921,6,4,4202,2078,49.452641599238,2570,1242,48.326848249027,1632,836,51.225490196078,5558,90,463,61,1,4,6.746862745098,4452,9475,7376,16690,71,47,36,671,216,161,725,584,320,5,8,19,398,428,940,2167,37,2,583,173,184,121,234,176,173,583,6173,12750,8155,20180,52,3660,38,0
2018,2018-2019,Cardiff City,34,69,0,20,417,3,4,0,13,28,5,124,96,4,6,23,51,32,32,126,179,112,260,475,168,14,9,0,9,34.815789473684,10226,6530,63.856835517309,3169,2437,76.901230672136,7619,4240,55.650347814674,1397,526,37.65211166786,562,147,26.156583629893,10,655,528,141,8,10,7,4,978,5,3,4510,2271,50.354767184035,2546,1290,50.667714061273,1964,981,49.949083503055,5677,77,374,66,0,1,6.7285163776493,4087,8834,7796,16469,94,66,59,950,270,161,662,607,366,3,12,16,314,440,974,2124,36,3,571,148,207,132,211,212,148,546,5765,12136,8819,20293,49,2119,38,0
2018,2018-2019,Fulham,34,81,2,24,454,2,3,0,10,29,4,159,113,7,4,22,67,48,45,146,192,116,355,572,161,13,12,2,10,48.763157894737,17699,14212,80.298321939093,8301,7321,88.194193470666,10009,7034,70.276750924168,1608,749,46.57960199005,611,143,23.404255319149,5,591,433,147,12,16,7,5,971,1,0,4154,2030,48.868560423688,2671,1279,47.884687383003,1483,751,50.640593391773,5562,90,423,70,2,2,6.7232245681382,3844,8035,7202,15043,103,76,57,704,226,194,808,525,301,5,13,18,448,427,1251,2482,79,0,587,153,246,112,207,227,153,700,5579,11402,8008,18602,43,1457,38,0
2018,2018-2019,Huddersfield Town,22,76,1,13,400,1,1,1,15,16,5,119,89,7,8,6,34,26,23,118,168,114,231,443,162,11,14,1,13,47.105263157895,15902,12051,75.782920387373,7060,6077,86.076487252125,9611,6142,63.905941109146,1691,802,47.42755765819,769,168,21.84655396619,5,710,530,114,10,5,8,7,658,5,1,4335,2157,49.757785467128,2652,1296,48.868778280543,1683,861,51.158645276292,5963,63,420,56,1,4,6.6740740740741,3599,8199,6770,14819,99,81,54,929,170,150,526,626,363,4,15,16,424,409,1058,2282,75,2,522,129,213,101,202,191,129,611,5164,11263,7806,18543,66,2558,38,0
